ID,날짜,시간,내용,리트윗 수,좋아요 수,링크
realDonaldTrump,2019-12-30,22:23:30S,"He is Fake News, will always be Fredo to us. I should release some of his dishonest interviews? Coupled with bad ratings, he’d be out!",79386,19148,https://twitter.com/realDonaldTrump/status/1211774730258264066
realDonaldTrump,2019-12-30,14:28:30S,Thank you to highly respected Jewish leader Dov Hikind for his wonderful statements about me this morning on @foxandfriends.,110178,20733,https://twitter.com/realDonaldTrump/status/1211655287247126535
realDonaldTrump,2019-12-29,19:10:29S,"The anti-Semitic attack in Monsey, New York, on the 7th night of Hanukkah last night is horrific. We must all come together to fight, confront, and eradicate the evil scourge of anti-Semitism. Melania and I wish the victims a quick and full recovery.",160030,34615,https://twitter.com/realDonaldTrump/status/1211363928837632002
realDonaldTrump,2019-12-29,14:55:29S,Crazy Nancy Pelosi should spend more time in her decaying city and less time on the Impeachment Hoax!,123652,36995,https://twitter.com/realDonaldTrump/status/1211299664852598785
realDonaldTrump,2019-12-29,12:57:29S,Any answers Nancy?,112508,29895,https://twitter.com/realDonaldTrump/status/1211270040311476224
realDonaldTrump,2019-12-29,00:00:29S,Tremendous Spirit!,92738,22796,https://twitter.com/realDonaldTrump/status/1211074529172348928
realDonaldTrump,2019-12-28,23:58:28S,Thank you Joe. So good for our workers!,56416,13424,https://twitter.com/realDonaldTrump/status/1211074032956854272
realDonaldTrump,2019-12-28,22:15:28S,A Dirty Cop at the highest level. Scum!,67254,19398,https://twitter.com/realDonaldTrump/status/1211048160296079361
realDonaldTrump,2019-12-28,22:13:28S,Thank you Adriana!,33352,7504,https://twitter.com/realDonaldTrump/status/1211047586276270081
realDonaldTrump,2019-12-28,21:14:28S,"So sad to see that New York City and State are falling apart. All they want to do is investigate to make me hate them even more than I should. Governor Cuomo has lost control, and lost his mind. Very bad for the homeless and all!",137524,29525,https://twitter.com/realDonaldTrump/status/1211032731012018182
realDonaldTrump,2019-12-28,21:06:28S,I want to thank Rush Limbaugh for the tremendous support he has given to the MAKE AMERICA GREAT AGAIN Movement and our KEEP AMERICA GREAT Agenda! He is a major star who never wavered despite the Fake News Hits he has had to endure. His voice is far bigger than theirs!,131227,29782,https://twitter.com/realDonaldTrump/status/1211030803179876353
realDonaldTrump,2019-12-28,13:33:28S,"California and New York must do something about their TREMENDOUS Homeless problems. They are setting records! If their Governors can’t handle the situation, which they should be able to do very easily, they must call and “politely” ask for help. Would be so easy with competence!",169722,39124,https://twitter.com/realDonaldTrump/status/1210916803800707072
realDonaldTrump,2019-12-28,04:44:28S,The Wall is funded & being built!,63493,15437,https://twitter.com/realDonaldTrump/status/1210783484748255234
realDonaldTrump,2019-12-28,04:41:28S,"Now that wasn’t very nice, was it?",103348,29607,https://twitter.com/realDonaldTrump/status/1210782718524395523
realDonaldTrump,2019-12-28,04:13:28S,Our great First Lady. She really cares!,55742,13258,https://twitter.com/realDonaldTrump/status/1210775808106586113
realDonaldTrump,2019-12-28,04:07:28S,"Congresswoman Lesko, a great American!",33130,9241,https://twitter.com/realDonaldTrump/status/1210774216338857984
realDonaldTrump,2019-12-28,03:54:28S,A true Democrat Party leader!,61590,18933,https://twitter.com/realDonaldTrump/status/1210770931112534016
realDonaldTrump,2019-12-28,02:57:28S,What kind of an animal is this?,89726,28631,https://twitter.com/realDonaldTrump/status/1210756639269117953
realDonaldTrump,2019-12-28,02:56:28S,"Hillary should give it another try, but this time don’t forget Wisconsin, Pennsylvania, Michigan, North Carolina & others!",48948,13254,https://twitter.com/realDonaldTrump/status/1210756296481226754
realDonaldTrump,2019-12-28,02:43:28S,"Come on Crazy Nancy, do it!",53661,15870,https://twitter.com/realDonaldTrump/status/1210753082264436737
realDonaldTrump,2019-12-28,02:41:28S,He made same prediction in 2016. Nobody ever said Michael was stupid!,33542,8204,https://twitter.com/realDonaldTrump/status/1210752675349839875
realDonaldTrump,2019-12-28,02:31:28S,"Wow Crazy Nancy, what’s going on? This is big stuff!",134053,60125,https://twitter.com/realDonaldTrump/status/1210750161174941696
realDonaldTrump,2019-12-28,02:28:28S,"@OANN is doing incredible reporting. If Lamestream Media did the same, they would get respect back. At All-Time Low!",20889,10544,https://twitter.com/realDonaldTrump/status/1210749216307286016
realDonaldTrump,2019-12-28,01:52:28S,Thanks Kayleigh!,36852,9133,https://twitter.com/realDonaldTrump/status/1210740248075882497
realDonaldTrump,2019-12-27,21:51:27S,“Dow closes at another All-Time High!” @cvpayne @FoxBusiness,66235,14366,https://twitter.com/realDonaldTrump/status/1210679670133469186
realDonaldTrump,2019-12-27,20:43:27S,So interesting to see Nancy Pelosi demanding fairness from @senatemajldr McConnell when she presided over the most unfair hearing in the history of the United States Congress!,109092,26692,https://twitter.com/realDonaldTrump/status/1210662521222381569
realDonaldTrump,2019-12-27,16:37:27S,"....and native culture – S.216/Spokane Tribe, S.256/Native Languages and NDAA Sec. 2870 officially recognizing Little Shell Tribe of Chippewa Indians. My great honor to do so!",59481,12750,https://twitter.com/realDonaldTrump/status/1210600561529237510
realDonaldTrump,2019-12-27,16:37:27S,Thank YOU Indian Country for being such an IMPORTANT part of the American story! I recently signed 3 bills to support tribal sovereignty....,100081,21080,https://twitter.com/realDonaldTrump/status/1210600560719781889
realDonaldTrump,2019-12-27,14:42:27S,"“Trump Stock Market rally is far outpacing past U.S. presidents” @CNBC With new trade deals, and more, THE BEST IS YET TO COME!",70810,16099,https://twitter.com/realDonaldTrump/status/1210571664037208064
realDonaldTrump,2019-12-27,14:28:27S,Speaker Pelosi and Chuck Schumer’s drive to try and rig the trial against the President is misplaced. There is no factual basis for the Articles of Impeachment that passed the House. This President will be exonerated.” William McGinley @foxandfriends,84850,20548,https://twitter.com/realDonaldTrump/status/1210568154658803713
realDonaldTrump,2019-12-27,14:16:27S,"Thank you Kristy, have a great year!",74238,13536,https://twitter.com/realDonaldTrump/status/1210565179949404160
realDonaldTrump,2019-12-27,13:48:27S,"Academy Award winning actor (and great guy!) @jonvoight is fantastic in the role of Mickey Donovan in the big television hit, Ray Donovan. From Midnight Cowboy to Deliverance to The Champ (one of the best ever boxing movies), &amp; many others, Jon delivers BIG. Also, LOVES THE USA!",75018,16572,https://twitter.com/realDonaldTrump/status/1210558076815912960
realDonaldTrump,2019-12-27,04:27:27S,"“Democrats repeatedly claimed impeachment was an urgent matter, but now Nancy Pelosi uses stall tactics to obstruct the Senate.” @replouiegohmert @HeyTammyBruce @FoxNews It’s all part of the Impeachment Hoax!",84959,20091,https://twitter.com/realDonaldTrump/status/1210416954068078592
realDonaldTrump,2019-12-27,04:20:27S,“Pelosi’s stall tactics expose the weakness of Democrat’s impeachment case.” @GreggJarrett @FoxNews,73141,16206,https://twitter.com/realDonaldTrump/status/1210415111925649408
realDonaldTrump,2019-12-27,00:17:27S,Thank you Ritchie!,48769,11689,https://twitter.com/realDonaldTrump/status/1210354030997901312
realDonaldTrump,2019-12-27,00:07:27S,The movie will never be the same! (just kidding),101208,17059,https://twitter.com/realDonaldTrump/status/1210351400313638914
realDonaldTrump,2019-12-27,00:03:27S,I guess Justin T doesn’t much like my making him pay up on NATO or Trade!,88151,19656,https://twitter.com/realDonaldTrump/status/1210350571452022784
realDonaldTrump,2019-12-26,23:53:26S,"California leads the nation, by far, in both the number of homeless people, and the percentage increase in the homeless population - two terrible stats. Crazy Nancy should focus on that in her very down district, and helping her incompetent governor with the big homeless problem!",126901,28296,https://twitter.com/realDonaldTrump/status/1210347885386178560
realDonaldTrump,2019-12-26,23:44:26S,"“Nancy Pelosi is trying to usurp the Constitutional role of the Senate. The longer this goes on, the more petty, partisan & political it all looks.” @KarlRove @FoxNews Just more of the same from the Do Nothing Dems. Nancy should be helping the record number of homeless in her D!",60433,15391,https://twitter.com/realDonaldTrump/status/1210345748933595137
realDonaldTrump,2019-12-26,21:18:26S,"“Nasdaq Hits 9,000 for First Time Ever”",69368,17250,https://twitter.com/realDonaldTrump/status/1210308913620553728
realDonaldTrump,2019-12-26,20:41:26S,“Trump stock market rally is far outpacing past US presidents”,80435,18798,https://twitter.com/realDonaldTrump/status/1210299694880088065
realDonaldTrump,2019-12-26,15:25:26S,"Russia, Syria, and Iran are killing, or on their way to killing, thousands of innocent civilians in Idlib Province. Don’t do it! Turkey is working hard to stop this carnage.",104539,21995,https://twitter.com/realDonaldTrump/status/1210220021433208832
realDonaldTrump,2019-12-26,14:36:26S,"Despite all of the great success that our Country has had over the last 3 years, it makes it much more difficult to deal with foreign leaders (and others) when I am having to constantly defend myself against the Do Nothing Democrats & their bogus Impeachment Scam. Bad for USA!",121785,27544,https://twitter.com/realDonaldTrump/status/1210207810291671045
